frame,env_id,cube_pos,cube_ore,robot_pos,robot_ore,cube_changed_pos,cube_changed_ore,front_img_rgb,side_img_rgb,bird_img_rgb,front_img_dp,side_img_dp,bird_img_dp,env_origin
1,0,[ 2.9529707 -0.5230808  0.3859431],[-0.36173344  0.41305292 -0.7428974   0.3829354 ],[ 2.5000000e+00  2.3283064e-10 -4.5000006e-02],[ 1.000000e+00 -1.489095e-10 -8.781334e-10 -8.472538e-11],[ 0.45297074 -0.5230808   0.43094313],[-0.36173344  0.41305292 -0.7428974   0.3829354 ],frames/front/rgb_env0_1.jpg,frames/side/rgb_env0_1.jpg,frames/bird/rgb_env0_1.jpg,frames/front/depth_1.npz,frames/side/depth_1.npz,frames/bird/depth_1.npz,[2.5 0.  0. ]
1,1,[-2.2159243   0.77498907 -0.00686653],[ 0.8785312  -0.11468679 -0.45153722  0.10556493],[-2.5000000e+00  2.3283064e-10 -4.5000006e-02],[ 1.000000e+00 -1.489095e-10 -8.781334e-10 -8.472538e-11],[0.28407574 0.77498907 0.03813348],[ 0.8785312  -0.11468679 -0.45153725  0.10556495],frames/front/rgb_env1_1.jpg,frames/side/rgb_env1_1.jpg,frames/bird/rgb_env1_1.jpg,frames/front/depth_1.npz,frames/side/depth_1.npz,frames/bird/depth_1.npz,[-2.5  0.   0. ]
2,0,[2.8549128  0.78913313 0.13873853],[-0.47547686  0.20537972  0.38281816  0.76497775],[ 2.5000000e+00  2.3283064e-10 -4.5000006e-02],[ 1.000000e+00 -1.489095e-10 -8.781334e-10 -8.472538e-11],[0.35491276 0.78913313 0.18373853],[-0.4754769   0.20537975  0.3828181   0.7649778 ],frames/front/rgb_env0_2.jpg,frames/side/rgb_env0_2.jpg,frames/bird/rgb_env0_2.jpg,frames/front/depth_2.npz,frames/side/depth_2.npz,frames/bird/depth_2.npz,[2.5 0.  0. ]
2,1,[-2.0331635   0.29518396  0.3465849 ],[ 0.27439225 -0.33448952 -0.83458096  0.3410283 ],[-2.5000000e+00  2.3283064e-10 -4.5000006e-02],[ 1.000000e+00 -1.489095e-10 -8.781334e-10 -8.472538e-11],[0.46683645 0.29518396 0.3915849 ],[ 0.27439225 -0.33448952 -0.834581    0.3410283 ],frames/front/rgb_env1_2.jpg,frames/side/rgb_env1_2.jpg,frames/bird/rgb_env1_2.jpg,frames/front/depth_2.npz,frames/side/depth_2.npz,frames/bird/depth_2.npz,[-2.5  0.   0. ]
3,0,[ 2.2671738  -0.6329833   0.12951729],[-0.2485254   0.04141307  0.70489997  0.6630506 ],[ 2.5000000e+00  2.3283064e-10 -4.5000006e-02],[ 1.000000e+00 -1.489095e-10 -8.781334e-10 -8.472538e-11],[-0.23282623 -0.6329833   0.17451729],[-0.24852538  0.04141305  0.70489997  0.6630506 ],frames/front/rgb_env0_3.jpg,frames/side/rgb_env0_3.jpg,frames/bird/rgb_env0_3.jpg,frames/front/depth_3.npz,frames/side/depth_3.npz,frames/bird/depth_3.npz,[2.5 0.  0. ]
3,1,[-2.181181   -0.42115384  0.19377114],[-0.5183462  -0.8398483  -0.14299405 -0.07432914],[-2.5000000e+00  2.3283064e-10 -4.5000006e-02],[ 1.000000e+00 -1.489095e-10 -8.781334e-10 -8.472538e-11],[ 0.31881905 -0.42115384  0.23877114],[-0.5183462  -0.8398483  -0.14299405 -0.07432914],frames/front/rgb_env1_3.jpg,frames/side/rgb_env1_3.jpg,frames/bird/rgb_env1_3.jpg,frames/front/depth_3.npz,frames/side/depth_3.npz,frames/bird/depth_3.npz,[-2.5  0.   0. ]
4,0,[2.2648892  0.4432823  0.08858638],[-0.48293    -0.59754056  0.05221889  0.6379632 ],[ 2.5000000e+00  2.3283064e-10 -4.5000006e-02],[ 1.000000e+00 -1.489095e-10 -8.781334e-10 -8.472538e-11],[-0.23511076  0.4432823   0.13358639],[-0.48293003 -0.5975405   0.05221891  0.6379632 ],frames/front/rgb_env0_4.jpg,frames/side/rgb_env0_4.jpg,frames/bird/rgb_env0_4.jpg,frames/front/depth_4.npz,frames/side/depth_4.npz,frames/bird/depth_4.npz,[2.5 0.  0. ]
4,1,[-2.0720716  -0.20259678  0.40577486],[-0.69750553  0.5307862  -0.01759901  0.48108444],[-2.5000000e+00  2.3283064e-10 -4.5000006e-02],[ 1.000000e+00 -1.489095e-10 -8.781334e-10 -8.472538e-11],[ 0.42792845 -0.20259678  0.45077488],[-0.69750553  0.5307862  -0.01759902  0.4810844 ],frames/front/rgb_env1_4.jpg,frames/side/rgb_env1_4.jpg,frames/bird/rgb_env1_4.jpg,frames/front/depth_4.npz,frames/side/depth_4.npz,frames/bird/depth_4.npz,[-2.5  0.   0. ]
5,0,[ 3.1685326  -0.47666815  0.25168857],[-0.51067364  0.11962867  0.7370283  -0.42625192],[ 2.5000000e+00  2.3283064e-10 -4.5000006e-02],[ 1.000000e+00 -1.489095e-10 -8.781334e-10 -8.472538e-11],[ 0.6685326  -0.47666815  0.2966886 ],[-0.51067364  0.11962867  0.73702824 -0.42625192],frames/front/rgb_env0_5.jpg,frames/side/rgb_env0_5.jpg,frames/bird/rgb_env0_5.jpg,frames/front/depth_5.npz,frames/side/depth_5.npz,frames/bird/depth_5.npz,[2.5 0.  0. ]
5,1,[-2.2216587   0.4917441   0.37708426],[ 0.69824076 -0.6676251  -0.18101114 -0.18431348],[-2.5000000e+00  2.3283064e-10 -4.5000006e-02],[ 1.000000e+00 -1.489095e-10 -8.781334e-10 -8.472538e-11],[0.2783413  0.4917441  0.42208427],[ 0.69824076 -0.6676251  -0.18101114 -0.18431348],frames/front/rgb_env1_5.jpg,frames/side/rgb_env1_5.jpg,frames/bird/rgb_env1_5.jpg,frames/front/depth_5.npz,frames/side/depth_5.npz,frames/bird/depth_5.npz,[-2.5  0.   0. ]
